RUN	botiqueClass.Boutiquee	boutiquee	1682420487814	test	3.9.0
REQUEST		To_Home	1682420488624	1682420488624	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488624
REQUEST		To_Home	1682420488625	1682420488625	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488626
REQUEST		To_Home	1682420488627	1682420488627	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488627
REQUEST		To_Home	1682420488628	1682420488628	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488628
REQUEST		To_Home	1682420488629	1682420488629	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488633
REQUEST		To_Home	1682420488634	1682420488634	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488635
REQUEST		To_Home	1682420488636	1682420488636	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488636
REQUEST		To_Home	1682420488578	1682420488637	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488637
REQUEST		To_Home	1682420488637	1682420488637	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488637
USER	Online Boutique Home Page	END	1682420488637
USER	Online Boutique Home Page	END	1682420488637
USER	Online Boutique Home Page	START	1682420488637
USER	Online Boutique Home Page	END	1682420488637
USER	Online Boutique Home Page	END	1682420488637
USER	Online Boutique Home Page	END	1682420488637
USER	Online Boutique Home Page	END	1682420488637
USER	Online Boutique Home Page	END	1682420488638
USER	Online Boutique Home Page	END	1682420488638
USER	Online Boutique Home Page	END	1682420488638
USER	Online Boutique Home Page	END	1682420488638
REQUEST		To_Home	1682420488638	1682420488638	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488639
USER	Online Boutique Home Page	START	1682420488639
USER	Online Boutique Home Page	END	1682420488639
USER	Online Boutique Home Page	END	1682420488639
USER	Online Boutique Home Page	END	1682420488639
USER	Online Boutique Home Page	END	1682420488639
REQUEST		To_Home	1682420488640	1682420488640	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488640
REQUEST		To_Home	1682420488641	1682420488641	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488642
USER	Online Boutique Home Page	END	1682420488642
USER	Online Boutique Home Page	END	1682420488642
USER	Online Boutique Home Page	END	1682420488642
REQUEST		To_Home	1682420488642	1682420488642	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488643
USER	Online Boutique Home Page	END	1682420488643
USER	Online Boutique Home Page	START	1682420488642
REQUEST		To_Home	1682420488643	1682420488643	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488644
USER	Online Boutique Home Page	END	1682420488644
REQUEST		To_Home	1682420488643	1682420488644	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488644
USER	Online Boutique Home Page	START	1682420488644
USER	Online Boutique Home Page	START	1682420488644
REQUEST		To_Home	1682420488645	1682420488645	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488645	1682420488645	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488646
USER	Online Boutique Home Page	START	1682420488646
REQUEST		To_Home	1682420488647	1682420488647	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488648
USER	Online Boutique Home Page	START	1682420488648
USER	Online Boutique Home Page	END	1682420488649
USER	Online Boutique Home Page	START	1682420488650
REQUEST		To_Home	1682420488650	1682420488651	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488651
USER	Online Boutique Home Page	START	1682420488651
REQUEST		To_Home	1682420488652	1682420488652	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488653
USER	Online Boutique Home Page	START	1682420488653
REQUEST		To_Home	1682420488581	1682420488645	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488654
USER	Online Boutique Home Page	START	1682420488654
REQUEST		To_Home	1682420488655	1682420488655	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488655	1682420488655	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488656
USER	Online Boutique Home Page	START	1682420488656
USER	Online Boutique Home Page	END	1682420488656
USER	Online Boutique Home Page	START	1682420488656
REQUEST		To_Home	1682420488649	1682420488649	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488657
USER	Online Boutique Home Page	START	1682420488657
REQUEST		To_Home	1682420488657	1682420488657	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488658
USER	Online Boutique Home Page	START	1682420488658
REQUEST		To_Home	1682420488659	1682420488659	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488660
USER	Online Boutique Home Page	START	1682420488660
REQUEST		To_Home	1682420488661	1682420488661	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488662
USER	Online Boutique Home Page	END	1682420488663
REQUEST		To_Home	1682420488663	1682420488663	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488664
USER	Online Boutique Home Page	END	1682420488664
REQUEST		To_Home	1682420488664	1682420488665	KO	j.n.UnknownHostException: onlineboutique.dev
